File created on 2022-11-02T10:49:43.236186
#COOR
GSM


#START
2021 12 03 03 38 00 000       -4.11      -0.20       0.15    -454.08      -5.91       4.13       4.08  127129.25
2021 12 03 03 39 00 000       -3.60       0.27      -0.66    -453.15      -4.42       1.10       4.05  122423.50
2021 12 03 03 40 00 000       -4.10       0.74       0.43    -452.22      -2.94      -1.95       4.03  117717.75
2021 12 03 03 41 00 000       -4.10      -0.29       0.40    -451.30      -1.46      -4.99       4.00  113012.00
2021 12 03 03 42 00 000       -3.92      -1.32       0.55    -451.30      -1.46      -4.99       4.00  113012.00
2021 12 03 03 43 00 000       -3.24      -0.70      -0.50    -446.20       3.51      22.87       3.85  112073.00
2021 12 03 03 44 00 000       -4.27       0.08       0.72    -446.20       3.53      22.87       3.85  112073.00
2021 12 03 03 45 00 000       -4.27      -0.63       0.51    -446.20       3.55      22.87       3.85  112073.00
2021 12 03 03 46 00 000       -3.48      -1.00      -1.36    -448.30       4.42      24.09       3.77  125374.33
2021 12 03 03 47 00 000       -3.54      -0.76      -0.09    -450.40       5.29      25.31       3.69  138675.67
2021 12 03 03 48 00 000       -3.81      -1.85      -1.06    -452.50       6.16      26.53       3.61  151977.00
2021 12 03 03 49 00 000       -3.98      -1.91      -0.67    -452.50       6.18      26.53       3.61  151977.00
2021 12 03 03 50 00 000       -3.51      -1.35      -1.49    -450.30       3.12      22.70       3.73  149681.00
2021 12 03 03 51 00 000       -3.93      -1.83      -0.61    -450.30       3.14      22.70       3.73  149681.00
2021 12 03 03 52 00 000       -3.76      -1.99      -0.64    -450.30       3.16      22.70       3.73  149681.00
2021 12 03 03 53 00 000       -3.24      -1.65      -1.46    -450.70       7.30      23.79       3.81  177793.00
2021 12 03 03 54 00 000       -3.70      -2.10      -0.19    -450.70       7.32      23.79       3.81  177793.00
2021 12 03 03 55 00 000       -3.81      -1.81      -0.19    -446.90       8.38      18.15       3.96  150646.00
2021 12 03 03 56 00 000       -3.37      -1.33      -1.31    -446.90       8.39      18.14       3.96  150646.00
2021 12 03 03 57 00 000       -3.88      -1.66      -0.70    -448.22       7.37      20.21       3.93  152124.80
2021 12 03 03 58 00 000       -3.48      -0.57       0.61    -449.54       6.36      22.28       3.89  153603.60
2021 12 03 03 59 00 000       -3.53      -1.76      -0.75    -450.86       5.35      24.35       3.86  155082.40
2021 12 03 04 00 00 000       -2.60      -1.25      -2.60    -452.18       4.34      26.43       3.82  156561.20
2021 12 03 04 01 00 000       -3.43      -1.97      -0.88    -453.50       3.34      28.51       3.79  158040.00
2021 12 03 04 02 00 000       -3.79      -2.15      -0.06    -451.00       6.07      24.69       3.71  158467.00
2021 12 03 04 03 00 000       -3.05      -1.57      -0.90    -447.70       9.49      19.89       3.61  159012.00
2021 12 03 04 04 00 000       -3.63      -2.38       0.44    -450.00       5.53      17.85       3.73  158104.20
2021 12 03 04 05 00 000       -3.62      -2.15       0.53    -452.30       1.55      15.80       3.86  157196.40
2021 12 03 04 06 00 000       -2.71      -1.31      -1.08    -454.60      -2.42      13.77       3.98  156288.60
2021 12 03 04 07 00 000       -3.57      -2.03       1.08    -456.90      -6.40      11.74       4.11  155380.80
2021 12 03 04 08 00 000       -3.22       0.52      -0.49    -459.20     -10.38       9.72       4.23  154473.00
2021 12 03 04 09 00 000       -3.53       1.25       0.50    -459.00     -10.80      11.29       4.21  154539.00
2021 12 03 04 10 00 000       -3.49       1.61      -0.05    -454.90     -14.91      29.07       3.93  147389.00
2021 12 03 04 11 00 000       -2.80       0.65      -1.35    -448.50       6.40      11.95       3.50  125615.00
2021 12 03 04 12 00 000       -3.37       1.17       0.91    -456.90      -5.31      15.01       4.03  146490.00
2021 12 03 04 13 00 000       -3.14       1.50       1.06    -461.10      -7.26      13.73       3.97  148636.00
2021 12 03 04 14 00 000       -2.78       1.01      -1.79    -463.90     -12.47      12.13       3.66  140703.00
2021 12 03 04 15 00 000       -2.98       0.39      -1.40    -455.00     -10.81      48.30       3.42  133346.00
2021 12 03 04 16 00 000       -3.23       1.84      -0.41    -464.30     -22.41      20.69       3.69  163572.00
2021 12 03 04 17 00 000       -2.94       0.60      -1.35    -464.80     -22.96      19.37       3.70  165042.00
2021 12 03 04 18 00 000       -3.40       1.67      -0.97    -463.97     -18.21      23.61       3.69  159891.67
2021 12 03 04 19 00 000       -2.96       1.20      -0.95    -463.13     -13.44      27.86       3.67  154741.33
2021 12 03 04 20 00 000       -3.12       1.22      -1.56    -462.30      -8.67      32.09       3.66  149591.00
2021 12 03 04 21 00 000       -3.40       1.68      -0.80    -458.00      -3.68      17.58       3.61  137604.00
2021 12 03 04 22 00 000       -3.56       1.67      -0.83    -456.10     -12.48      22.91       3.86  133486.00
